"","Location_skey","ChargePoint_skey","def_ampere"
"1311",1107,3616,16
"1312",1108,3906,16
"1313",1109,1821,16
"1314",1110,4142,16
"1315",1111,2490,13
"1316",1112,1540,16
"1317",1113,94,16
"1318",1114,2305,16
"1319",1115,1681,16
"1320",1117,3565,16
"1321",1118,3032,16
"1322",1118,4237,16
"1323",1119,5338,16
"1324",1120,4032,20
"1325",1121,2235,16
"1326",1122,2291,16
"1327",1123,5073,16
"1328",1123,5881,20
"1329",1124,3351,16
"1330",1125,2213,16
"1331",1126,1931,16
"1332",1126,2033,16
"1333",1127,3604,16
"1334",1128,1660,16
"1335",1129,3582,16
"1336",1130,4080,16
"1337",1131,3256,20
"1338",1132,56,16
"1339",1133,3321,16
"1340",1134,3951,16
"1341",1135,3537,16
"1342",1136,4380,16
"1343",1136,6118,16
"1344",1137,1008,16
"1345",1137,6272,16
"1346",1138,3106,16
"1347",1139,4047,20
"1348",1140,2410,16
"1349",1141,1707,16
"1350",1142,4727,16
"1351",1143,2254,20
"1352",1144,730,16
"1353",1144,840,16
